id;Sensorname;Type;Subtype;Value1;Value2;ValueDiff;Duration;Timestamp
324056;W_Balkon_cyrspec_moist;zwave;MoistPercent;93.3;;;;"=""2020-12-22 03:55:43.912"""
324057;W_Balkon_cyrspec_light;zwave;LightPercent;1.04;;;;"=""2020-12-22 03:55:44.422"""
324058;H_Eingag_cyrspec_temp;zwave;Temperature;10.46;;;;"=""2020-12-22 03:58:38.472"""
324059;H_Eingag_cyrspec_moist;zwave;MoistPercent;86.36;;;;"=""2020-12-22 03:58:38.489"""
324060;H_Eingag_cyrspec_light;zwave;LightPercent;0.87;;;;"=""2020-12-22 03:58:39.083"""
324061;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 06:53:36.933"""
324062;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 06:56:58.351"""
324063;Drehwand;turn;93-0;54.37;55.29;0.92;561;"=""2020-12-22 07:11:54.882"""
324064;B_Tuer_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 07:20:50.903"""
324065;B_Tuer_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 07:21:19.667"""
324066;B_Tuer_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 07:22:21.146"""
324067;W_Balkon_cyrspec_temp;zwave;Temperature;9.86;;;;"=""2020-12-22 07:43:04.323"""
324068;W_Balkon_cyrspec_moist;zwave;MoistPercent;101.81;;;;"=""2020-12-22 07:43:04.487"""
324069;W_Balkon_cyrspec_light;zwave;LightPercent;1.04;;;;"=""2020-12-22 07:43:04.992"""
324070;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 07:43:46.798"""
324071;B_Tuer_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 07:44:21.378"""
324072;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 07:47:00.524"""
324073;W_Balkon_cyrspec_light;zwave;LightPercent;10.45;;;;"=""2020-12-22 07:57:55.520"""
324074;W_Balkon_cyrspec_temp;zwave;Temperature;10.14;;;;"=""2020-12-22 08:00:56.929"""
324075;W_Balkon_cyrspec_moist;zwave;MoistPercent;103.45;;;;"=""2020-12-22 08:00:57.089"""
324076;W_Balkon_cyrspec_light;zwave;LightPercent;21.42;;;;"=""2020-12-22 08:00:57.603"""
324077;LampeDrehwand;turn;93-1;83.81;83.20;0.61;561;"=""2020-12-22 08:03:31.641"""
324078;W_Balkon_cyrspec_temp;zwave;Temperature;10.1;;;;"=""2020-12-22 08:03:52.204"""
324079;W_Balkon_cyrspec_moist;zwave;MoistPercent;103.45;;;;"=""2020-12-22 08:03:52.373"""
324080;W_Balkon_cyrspec_light;zwave;LightPercent;35.01;;;;"=""2020-12-22 08:03:52.856"""
324081;W_Balkon_cyrspec_temp;zwave;Temperature;10.14;;;;"=""2020-12-22 08:06:49.427"""
324082;W_Balkon_cyrspec_moist;zwave;MoistPercent;104.44;;;;"=""2020-12-22 08:06:49.601"""
324083;W_Balkon_cyrspec_light;zwave;LightPercent;52.61;;;;"=""2020-12-22 08:06:50.117"""
324084;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 08:08:13.094"""
324085;W_Balkon_cyrspec_light;zwave;LightPercent;70.73;;;;"=""2020-12-22 08:09:48.922"""
324086;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 08:11:41.863"""
324087;H_Eingag_cyrspec_light;zwave;LightPercent;9.58;;;;"=""2020-12-22 08:12:27.614"""
324088;W_Balkon_cyrspec_light;zwave;LightPercent;90.94;;;;"=""2020-12-22 08:12:48.707"""
