id;Sensorname;Type;Subtype;Value1;Value2;ValueDiff;Duration;Timestamp
318553;Drehwand;turn;93-0;57.39;45.94;11.45;1479;"=""2020-12-14 08:51:59.507"""
318554;Drehwand;turn;93-0;45.94;42.06;3.88;1530;"=""2020-12-14 08:52:02.662"""
318555;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 08:52:10.166"""
318556;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:52:32.364"""
318557;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:52:34.346"""
318558;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:53:44.124"""
318559;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:53:46.654"""
318560;K_Fen_Oben_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:53:48.880"""
318561;K_Fen_Oben_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:54:12.095"""
318562;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:54:18.192"""
318563;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:55:01.729"""
318564;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:55:18.175"""
318565;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:56:09.922"""
318566;W_Fen_Wand_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:56:55.318"""
318567;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 08:56:59.850"""
318568;K_Fen_Oben_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:57:43.689"""
318569;W_Balkon_cyrspec_temp;zwave;Temperature;3.68;;;;"=""2020-12-14 08:57:53.027"""
318570;W_Balkon_cyrspec_moist;zwave;MoistPercent;103.44;;;;"=""2020-12-14 08:57:53.203"""
318571;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 08:57:53.672"""
318572;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:58:24.880"""
318573;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:58:27.176"""
318574;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:58:44.414"""
318575;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:58:46.646"""
318576;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 09:00:21.757"""
318577;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:00:47.240"""
318578;W_Balkon_cyrspec_temp;zwave;Temperature;8;;;;"=""2020-12-14 09:00:49.321"""
318579;W_Balkon_cyrspec_moist;zwave;MoistPercent;94.32;;;;"=""2020-12-14 09:00:49.488"""
318580;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 09:00:49.912"""
318581;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:00:51.638"""
318582;K_Fen_Oben_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:01:03.849"""
318583;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:01:10.066"""
318584;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:01:14.395"""
318585;W_Fen_Wand_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:01:43.872"""
318586;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:02:30.720"""
318587;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:02:33.166"""
318588;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:02:37.491"""
318589;K_Schrank_Oben_05_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:02:55.645"""
318590;K_Schrank_Oben_05_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:03:01.610"""
318591;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:03:12.332"""
318592;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:03:14.633"""
318593;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:03:45.342"""
318594;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:03:51.035"""
318595;W_Balkon_cyrspec_temp;zwave;Temperature;6.47;;;;"=""2020-12-14 09:03:51.150"""
318596;W_Balkon_cyrspec_moist;zwave;MoistPercent;94.79;;;;"=""2020-12-14 09:03:51.631"""
318597;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 09:03:51.773"""
318598;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:04:08.419"""
318599;H_Eingag_cyrspec_temp;zwave;Temperature;2.95;;;;"=""2020-12-14 09:04:59.671"""
318600;H_Eingag_cyrspec_moist;zwave;MoistPercent;86.25;;;;"=""2020-12-14 09:04:59.706"""
318601;H_Eingag_cyrspec_light;zwave;LightPercent;97.9;;;;"=""2020-12-14 09:05:00.257"""
318602;K_Schrank_Oben_02_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:05:17.627"""
318603;K_Schrank_Oben_03_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:05:19.377"""
318604;K_Schrank_Oben_03_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:05:22.435"""
318605;K_Schrank_Oben_02_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:05:22.678"""
318606;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:05:23.562"""
318607;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:05:41.215"""
318608;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:05:56.393"""
318609;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:06:03.136"""
318610;W_Balkon_cyrspec_temp;zwave;Temperature;4.51;;;;"=""2020-12-14 09:06:46.652"""
318611;W_Balkon_cyrspec_moist;zwave;MoistPercent;99.03;;;;"=""2020-12-14 09:06:46.825"""
318612;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 09:06:47.459"""
318613;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:07:01.647"""
318614;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:07:13.491"""
318615;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:07:15.942"""
318616;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:07:18.511"""
318617;W_Balkon_cyrspec_temp;zwave;Temperature;3.12;;;;"=""2020-12-14 09:12:37.323"""
318618;W_Balkon_cyrspec_moist;zwave;MoistPercent;99.28;;;;"=""2020-12-14 09:12:37.497"""
318619;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 09:12:37.939"""
318620;LampeDrehwand;turn;93-1;121.93;115.21;6.72;2550;"=""2020-12-14 09:21:09.954"""
318621;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:22:09.065"""
318622;B_Wasch_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:22:09.209"""
318623;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:22:09.846"""
318624;B_Wasch_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:22:09.965"""
318625;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:22:10.465"""
318626;B_Wasch_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:22:10.573"""
318627;B_Schrank_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:31:04.990"""
318628;B_Schrank_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:33:27.360"""
318629;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:35:36.705"""
318630;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:37:50.782"""
318631;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:38:10.781"""
318632;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 09:38:12.173"""
318633;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:38:15.881"""
318634;W_Balkon_cyrspec_temp;zwave;Temperature;1.99;;;;"=""2020-12-14 09:39:06.371"""
318635;W_Balkon_cyrspec_moist;zwave;MoistPercent;101.43;;;;"=""2020-12-14 09:39:06.545"""
318636;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 09:39:06.991"""
318637;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:39:12.166"""
318638;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:39:14.717"""
318639;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:39:16.158"""
318640;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:39:35.253"""
318641;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:39:39.083"""
318642;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:39:42.962"""
318643;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:39:44.218"""
318644;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:39:45.475"""
318645;K_Schub_Mitte_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:39:46.331"""
318646;K_Schub_Mitte_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:39:49.288"""
318647;K_Schub_Mitte_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:39:49.922"""
318648;K_Schub_Mitte_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:39:50.202"""
318649;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:40:17.597"""
318650;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:40:22.967"""
318651;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:40:24.044"""
318652;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:40:36.807"""
318653;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:48:08.587"""
318654;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:48:28.875"""
318655;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:48:43.645"""
318656;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:48:58.155"""
318657;K_Schrank_Oben_03_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:49:40.917"""
318658;K_Schrank_Oben_03_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:49:44.535"""
318659;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:49:44.928"""
318660;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:49:46.458"""
318661;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:49:46.496"""
318662;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:49:47.044"""
318663;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:50:07.740"""
318664;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:50:10.069"""
318665;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:50:14.495"""
318666;K_Schrank_Oben_03_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:52:20.661"""
318667;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:52:38.954"""
318668;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:52:40.573"""
318669;K_Schrank_Oben_03_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:52:45.327"""
318670;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:55:36.180"""
318671;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:55:38.699"""
318672;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:55:38.742"""
318673;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:55:39.311"""
318674;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 09:55:46.776"""
318675;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 09:55:48.220"""
318676;LampeAussenwand;turn;91-0;113.04;111.57;1.47;510;"=""2020-12-14 09:58:02.001"""
318677;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:02:08.550"""
318678;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:02:10.163"""
318679;H_Eingag_cyrspec_temp;zwave;Temperature;4.07;;;;"=""2020-12-14 10:04:52.482"""
318680;H_Eingag_cyrspec_moist;zwave;MoistPercent;88.96;;;;"=""2020-12-14 10:04:52.539"""
318681;H_Eingag_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 10:04:53.162"""
318682;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:07:22.102"""
318683;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:07:24.684"""
318684;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:07:41.813"""
318685;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 10:10:08.951"""
318686;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:10:58.391"""
318687;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:11:06.765"""
318688;K_Fen_Oben_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 10:11:52.227"""
318689;K_Fen_Oben_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:12:03.820"""
318690;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 10:13:23.163"""
318691;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 10:16:45.124"""
318692;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:17:51.490"""
318693;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 10:18:05.002"""
318694;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:18:11.181"""
318695;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:18:13.331"""
318696;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:18:38.466"""
318697;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:22:30.371"""
318698;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:22:32.591"""
318699;B_Wasch_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:24:04.404"""
318700;B_Schrank_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:26:11.275"""
318701;B_Schrank_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:33:40.899"""
318702;K_Schrank_Oben_02_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:33:53.524"""
318703;K_Schrank_Oben_02_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:33:56.553"""
318704;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 10:36:31.047"""
318705;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 10:39:52.811"""
318706;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:39:57.526"""
318707;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:40:15.662"""
318708;B_Wasch_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:40:16.506"""
318709;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:40:20.237"""
318710;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 10:41:15.895"""
318711;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:41:20.796"""
318712;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:47:11.087"""
318713;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:47:16.386"""
318714;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:47:56.129"""
318715;S_Schub_Wand_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:49:56.741"""
318716;S_Schub_Wand_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:49:57.979"""
318717;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 10:50:13.854"""
318718;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:50:15.094"""
318719;Drehschrank;turn;92-0;96.39;61.42;34.97;2805;"=""2020-12-14 10:52:25.245"""
318720;H_Tuer_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 10:52:39.623"""
318721;H_Eingang_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 10:52:42.021"""
318722;H_Tuer_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 10:53:02.298"""
318723;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 10:56:03.934"""
318724;W_Balkon_cyrspec_temp;zwave;Temperature;3.01;;;;"=""2020-12-14 11:04:39.339"""
318725;W_Balkon_cyrspec_moist;zwave;MoistPercent;101.52;;;;"=""2020-12-14 11:04:39.501"""
318726;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 11:04:40.106"""
318727;H_Eingag_cyrspec_temp;zwave;Temperature;5.19;;;;"=""2020-12-14 11:22:40.076"""
318728;H_Eingag_cyrspec_moist;zwave;MoistPercent;88.44;;;;"=""2020-12-14 11:22:40.126"""
318729;H_Eingag_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 11:22:40.763"""
318730;W_Balkon_cyrspec_temp;zwave;Temperature;4.06;;;;"=""2020-12-14 11:25:14.118"""
318731;W_Balkon_cyrspec_moist;zwave;MoistPercent;101.99;;;;"=""2020-12-14 11:25:14.327"""
318732;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 11:25:14.778"""
318733;H_Eingang_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 11:37:08.370"""
318734;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 11:40:33.767"""
318735;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 11:42:01.907"""
318736;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 11:45:16.066"""
318737;H_Eingang_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 12:03:49.933"""
318738;H_Tuer_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 12:03:52.045"""
318739;H_Tuer_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:03:58.346"""
318740;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:04:32.293"""
318741;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:04:33.778"""
318742;H_Graderobe_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:05:16.314"""
318743;H_Graderobe_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:05:16.454"""
318744;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:05:38.855"""
318745;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 12:07:07.711"""
318746;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:12:13.993"""
318747;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:13:07.631"""
318748;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:13:09.373"""
318749;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:14:26.500"""
318750;K_Schrank_Oben_04_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:14:45.690"""
318751;K_Schrank_Oben_04_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:14:45.774"""
318752;K_Schrank_Oben_04_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:14:48.051"""
318753;K_Ofen_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 12:15:29.338"""
318754;K_Ofen_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:15:30.697"""
318755;K_Ofen_Schub_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:15:35.709"""
318756;K_Ofen_Schub_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:15:41.941"""
318757;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:15:49.929"""
318758;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:16:03.995"""
318759;K_Schub_Mitte_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:16:06.111"""
318760;K_Schub_Mitte_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:16:24.720"""
318761;K_Schub_Mitte_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:16:25.295"""
318762;K_Schub_Unten_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:16:25.512"""
318763;K_Schub_Mitte_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:16:25.921"""
318764;K_Schub_Unten_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:16:45.651"""
318765;Drehwand;turn;93-0;42.06;42.72;0.66;918;"=""2020-12-14 12:25:15.974"""
318766;Drehwand;turn;93-0;42.72;40.82;1.90;816;"=""2020-12-14 12:25:18.082"""
318767;H_Graderobe_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:26:01.150"""
318768;H_Graderobe_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:26:02.188"""
318769;H_Eingang_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 12:27:07.354"""
318770;Drehschrank;turn;92-0;61.42;63.78;2.36;816;"=""2020-12-14 12:29:13.830"""
318771;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 12:33:32.868"""
318772;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:36:23.494"""
318773;Drehschrank;turn;92-0;63.78;92.81;29.03;1734;"=""2020-12-14 12:36:25.890"""
318774;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 12:36:29.894"""
318775;Drehwand;turn;93-0;40.82;12.21;28.61;3979;"=""2020-12-14 12:38:27.875"""
318776;Drehwand;turn;93-0;12.21;25.05;12.84;2601;"=""2020-12-14 12:38:42.741"""
318777;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 12:39:43.994"""
318778;Drehwand;turn;93-0;25.05;16.26;8.79;1377;"=""2020-12-14 12:40:47.431"""
318779;Drehwand;turn;93-0;16.26;13.72;2.54;714;"=""2020-12-14 12:40:49.485"""
318780;Drehschrank;turn;92-0;92.81;45.87;46.94;2754;"=""2020-12-14 12:42:14.302"""
318781;Drehschrank;turn;92-0;45.87;20.62;25.25;4182;"=""2020-12-14 12:42:20.378"""
318782;Drehschrank;turn;92-0;20.62;15.12;5.50;969;"=""2020-12-14 12:42:29.340"""
318783;Drehschrank;turn;92-0;15.12;10.04;5.08;1122;"=""2020-12-14 12:42:44.728"""
318784;H_Tuer_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 12:42:58.924"""
318785;H_Eingang_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 12:43:03.734"""
318786;H_Tuer_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:43:22.912"""
318787;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 12:46:29.108"""
318788;H_Graderobe_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:48:37.784"""
318789;Drehschrank;turn;92-0;10.04;91.65;81.61;4845;"=""2020-12-14 12:48:45.814"""
318790;Drehschrank;turn;92-0;91.65;116.34;24.69;1836;"=""2020-12-14 12:48:49.656"""
318791;Drehschrank;turn;92-0;116.34;148.15;31.81;2805;"=""2020-12-14 12:48:53.631"""
318792;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:49:24.950"""
318793;H_Eingag_cyrspec_temp;zwave;Temperature;4.11;;;;"=""2020-12-14 12:49:33.978"""
318794;H_Eingag_cyrspec_moist;zwave;MoistPercent;89.23;;;;"=""2020-12-14 12:49:34.030"""
318795;H_Eingag_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 12:49:34.591"""
318796;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 12:49:40.375"""
318797;K_IT_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 12:50:19.947"""
318798;Drehschrank;turn;92-0;148.15;140.39;7.76;2040;"=""2020-12-14 12:52:24.709"""
318799;Drehschrank;turn;92-0;140.39;47.01;93.38;7038;"=""2020-12-14 12:52:51.509"""
318800;Drehwand;turn;93-0;13.72;23.32;9.60;1326;"=""2020-12-14 12:54:58.346"""
318801;Drehwand;turn;93-0;23.32;28.58;5.26;1683;"=""2020-12-14 12:55:01.209"""
318802;H_Eingang_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 12:58:17.726"""
318803;H_Tuer_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 13:01:27.465"""
318804;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 13:03:10.263"""
318805;H_Putz_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 13:03:18.335"""
318806;H_Putz_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 13:03:19.173"""
318807;H_Graderobe_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 13:03:30.981"""
318808;H_Eingag_cyrspec_temp;zwave;Temperature;8.78;;;;"=""2020-12-14 13:04:33.197"""
318809;H_Eingag_cyrspec_moist;zwave;MoistPercent;100.66;;;;"=""2020-12-14 13:04:33.243"""
318810;H_Eingag_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 13:04:33.832"""
318811;H_Tuer_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 13:04:35.517"""
318812;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 13:06:07.907"""
318813;H_Eingag_cyrspec_temp;zwave;Temperature;6.65;;;;"=""2020-12-14 13:07:36.080"""
318814;H_Eingag_cyrspec_moist;zwave;MoistPercent;96.99;;;;"=""2020-12-14 13:07:36.129"""
318815;H_Eingag_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 13:07:36.724"""
318816;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 13:08:08.727"""
318817;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 13:09:26.085"""
